"Country","Month","Total Passengers"
"Costa Rica","1/4/2008","184070"
"Dominican Republic","1/4/2008","350424"
"Bahamas","1/4/2008","262722"
"Atlantic Ocean","1/4/2008","55628"
"Colombia","1/4/2008","111700"
"Jamaica","1/4/2008","255301"
"El Salvador","1/4/2008","93432"
"Aruba","1/4/2008","107400"
"Ecuador","1/4/2008","61357"
"Panama","1/4/2008","94282"
"Argentina","1/4/2008","95528"
"Taiwan","1/4/2008","192605"
"Germany","1/4/2008","778569"
"Guatemala","1/4/2008","86943"
"Denmark","1/4/2008","61961"
"Antilles","1/4/2008","90715"
"Brazil","1/4/2008","192819"
"Russia","1/4/2008","36067"
"Italy","1/4/2008","202058"
"Honduras","1/4/2008","51902"
"Philippines","1/4/2008","82577"
"France","1/4/2008","506697"
"Cayman Islands","1/4/2008","67003"
"United Arab Emirates","1/4/2008","62347"
"Peru","1/4/2008","92811"
"New Zealand","1/4/2008","59864"
"Canada","1/4/2008","1857301"
"Switzerland","1/4/2008","132840"
"Israel","1/4/2008","117594"
"Turkey","1/4/2008","26465"
"Venezuela","1/4/2008","84404"
"Hong Kong","1/4/2008","178359"
"Ireland","1/4/2008","170667"
"United Kingdom","1/4/2008","1458154"
"Spain","1/4/2008","169402"
"Mexico","1/4/2008","1695475"
"South Korea","1/4/2008","264571"
"Iceland","1/4/2008","22648"
"Belgium","1/4/2008","68649"
"Haiti","1/4/2008","59208"
"China","1/4/2008","176180"
"Japan","1/4/2008","843645"
"Netherlands","1/4/2008","406115"
"Antilles","1/3/2008","115689"
"Italy","1/3/2008","202567"
"Netherlands","1/3/2008","391189"
"China","1/3/2008","177938"
"Japan","1/3/2008","997847"
"Hong Kong","1/3/2008","170910"
"Argentina","1/3/2008","119812"
"Belgium","1/3/2008","69839"
"Canada","1/3/2008","2104093"
"Germany","1/3/2008","766251"
"Iceland","1/3/2008","25033"
"Philippines","1/3/2008","71658"
"Costa Rica","1/3/2008","240087"
"South Korea","1/3/2008","245616"
"El Salvador","1/3/2008","109662"
"Venezuela","1/3/2008","90909"
"Russia","1/3/2008","33616"
"United Arab Emirates","1/3/2008","73691"
"Australia","1/3/2008","128546"
"Jamaica","1/3/2008","288451"
"Switzerland","1/3/2008","142039"
"Spain","1/3/2008","162952"
"Ireland","1/3/2008","174240"
"Israel","1/3/2008","110371"
"Haiti","1/3/2008","73932"
"Ecuador","1/3/2008","79226"
"Colombia","1/3/2008","140869"
"France","1/3/2008","494365"
"Cayman Islands","1/3/2008","80117"
"Mexico","1/3/2008","2115973"
"Honduras","1/3/2008","73668"
"New Zealand","1/3/2008","81400"
"Denmark","1/3/2008","60090"
"Chile","1/3/2008","67955"
"Dominican Republic","1/3/2008","398794"
"Peru","1/3/2008","109583"
"Atlantic Ocean","1/3/2008","51800"
"Guatemala","1/3/2008","109092"
"Turkey","1/3/2008","23850"
"Bahamas","1/3/2008","307877"
"United Kingdom","1/3/2008","1410851"
"Aruba","1/3/2008","121117"
"Trinidad and Tobago","1/3/2008","66127"
"Panama","1/3/2008","111263"
"Brazil","1/3/2008","211240"
"Taiwan","1/3/2008","214569"
"Hong Kong","1/2/2008","151662"
"Netherlands","1/2/2008","294880"
"Panama","1/2/2008","111861"
"Chile","1/2/2008","64874"
"Germany","1/2/2008","614705"
"Argentina","1/2/2008","112378"
"Spain","1/2/2008","108884"
"Bahamas","1/2/2008","227068"
"Brazil","1/2/2008","198376"
"France","1/2/2008","344362"
"Antilles","1/2/2008","95136"
"Costa Rica","1/2/2008","203952"
"Ireland","1/2/2008","120836"
"Ecuador","1/2/2008","66263"
"Aruba","1/2/2008","104528"
"Israel","1/2/2008","84010"
"Jamaica","1/2/2008","220574"
"Italy","1/2/2008","120255"
"Dominican Republic","1/2/2008","330982"
"Haiti","1/2/2008","63985"
"Belgium","1/2/2008","50746"
"New Zealand","1/2/2008","71084"
"Venezuela","1/2/2008","83680"
"El Salvador","1/2/2008","87265"
"Honduras","1/2/2008","54152"
"China","1/2/2008","134647"
"Philippines","1/2/2008","62923"
"United Arab Emirates","1/2/2008","56287"
"Colombia","1/2/2008","115792"
"Russia","1/2/2008","23813"
"Taiwan","1/2/2008","176864"
"Iceland","1/2/2008","20784"
"Cayman Islands","1/2/2008","62560"
"Trinidad and Tobago","1/2/2008","59264"
"Atlantic Ocean","1/2/2008","39201"
"Denmark","1/2/2008","44361"
"Peru","1/2/2008","98006"
"Switzerland","1/2/2008","107957"
"South Korea","1/2/2008","258224"
"Turkey","1/2/2008","18583"
"Japan","1/2/2008","879234"
"Australia","1/2/2008","125576"
"United Kingdom","1/2/2008","1078705"
"Canada","1/2/2008","1900186"
"Guatemala","1/2/2008","82551"
"Mexico","1/2/2008","1679917"
"Turkey","1/1/2008","23557"
"New Zealand","1/1/2008","82196"
"Israel","1/1/2008","109652"
"Atlantic Ocean","1/1/2008","35364"
"Haiti","1/1/2008","71202"
"South Korea","1/1/2008","385606"
"Bahamas","1/1/2008","225954"
"Japan","1/1/2008","986537"
"El Salvador","1/1/2008","76841"
"Venezuela","1/1/2008","107665"
"Denmark","1/1/2008","46399"
"Philippines","1/1/2008","80375"
"Colombia","1/1/2008","178223"
"Russia","1/1/2008","31346"
"Dominican Republic","1/1/2008","356204"
"Trinidad and Tobago","1/1/2008","68367"
"Panama","1/1/2008","121138"
"Iceland","1/1/2008","20786"
"Honduras","1/1/2008","52390"
"Jamaica","1/1/2008","156689"
"Peru","1/1/2008","101297"
"Brazil","1/1/2008","255531"
"Italy","1/1/2008","161987"
"Guatemala","1/1/2008","99934"
"Hong Kong","1/1/2008","176414"
"China","1/1/2008","173365"
"Spain","1/1/2008","123992"
"Belgium","1/1/2008","57088"
"Cayman Islands","1/1/2008","61463"
"Aruba","1/1/2008","101766"
"United Arab Emirates","1/1/2008","73538"
"France","1/1/2008","424165"
"Costa Rica","1/1/2008","223825"
"Chile","1/1/2008","70429"
"Argentina","1/1/2008","114635"
"Antilles","1/1/2008","89188"
"Germany","1/1/2008","686080"
"Switzerland","1/1/2008","127673"
"Australia","1/1/2008","146389"
"Taiwan","1/1/2008","224046"
"Mexico","1/1/2008","1782076"
"Ecuador","1/1/2008","72724"
"Ireland","1/1/2008","131148"
"United Kingdom","1/1/2008","1198650"
"Canada","1/1/2008","1803071"
"Netherlands","1/1/2008","340537"
"Antilles","1/12/2007","83778"
"Trinidad and Tobago","1/12/2007","65071"
"Netherlands","1/12/2007","375333"
"Jamaica","1/12/2007","260939"
"Australia","1/12/2007","143477"
"Aruba","1/12/2007","96637"
"Atlantic Ocean","1/12/2007","47591"
"Taiwan","1/12/2007","204823"
"United Kingdom","1/12/2007","1420536"
"Haiti","1/12/2007","72071"
"United Arab Emirates","1/12/2007","77453"
"Panama","1/12/2007","103628"
"Japan","1/12/2007","963010"
"Peru","1/12/2007","98250"
"Germany","1/12/2007","710642"
"Mexico","1/12/2007","1787044"
"China","1/12/2007","161256"
"Brazil","1/12/2007","220683"
"Venezuela","1/12/2007","116144"
"Belgium","1/12/2007","64077"
"Costa Rica","1/12/2007","195132"
"Spain","1/12/2007","144931"
"Turkey","1/12/2007","23892"
"El Salvador","1/12/2007","128045"
"France","1/12/2007","470289"
"South Korea","1/12/2007","273197"
"Israel","1/12/2007","105109"
"Philippines","1/12/2007","73164"
"Chile","1/12/2007","62830"
"Colombia","1/12/2007","175131"
"Ecuador","1/12/2007","69731"
"Cayman Islands","1/12/2007","61845"
"Dominican Republic","1/12/2007","334436"
"Bahamas","1/12/2007","245152"
"Honduras","1/12/2007","66197"
"Hong Kong","1/12/2007","179358"
"Canada","1/12/2007","1783257"
"Ireland","1/12/2007","163106"
"Iceland","1/12/2007","26632"
"Russia","1/12/2007","33555"
"Denmark","1/12/2007","47509"
"Argentina","1/12/2007","105339"
"Italy","1/12/2007","179144"
"Switzerland","1/12/2007","137224"
"New Zealand","1/12/2007","88159"
"Guatemala","1/12/2007","122405"
"Netherlands","1/11/2007","363711"
"Canada","1/11/2007","1675295"
"Philippines","1/11/2007","58847"
"Belgium","1/11/2007","59058"
"New Zealand","1/11/2007","64703"
"Honduras","1/11/2007","48603"
"Denmark","1/11/2007","49520"
"Cayman Islands","1/11/2007","58243"
"Spain","1/11/2007","150963"
"Haiti","1/11/2007","58212"
"Chile","1/11/2007","52207"
"Russia","1/11/2007","30394"
"Hong Kong","1/11/2007","181453"
"Switzerland","1/11/2007","121048"
"France","1/11/2007","448659"
"Atlantic Ocean","1/11/2007","58406"
"Peru","1/11/2007","91895"
"Turkey","1/11/2007","23508"
"Iceland","1/11/2007","30289"
"Trinidad and Tobago","1/11/2007","55551"
"Panama","1/11/2007","83354"
"Argentina","1/11/2007","92669"
"China","1/11/2007","162100"
"Guatemala","1/11/2007","110954"
"Italy","1/11/2007","185970"
"South Korea","1/11/2007","255205"
"Venezuela","1/11/2007","104399"
"Ecuador","1/11/2007","59323"
"Antilles","1/11/2007","74267"
"Colombia","1/11/2007","126047"
"Taiwan","1/11/2007","192061"
"Australia","1/11/2007","134400"
"Israel","1/11/2007","103721"
"Jamaica","1/11/2007","221032"
"El Salvador","1/11/2007","102288"
"United Arab Emirates","1/11/2007","58542"
"Bahamas","1/11/2007","213032"
"United Kingdom","1/11/2007","1361426"
"Aruba","1/11/2007","95976"
"Germany","1/11/2007","685310"
"Mexico","1/11/2007","1515443"
"Japan","1/11/2007","945604"
"Brazil","1/11/2007","196925"
"Ireland","1/11/2007","183713"
"Costa Rica","1/11/2007","152150"
"Dominican Republic","1/11/2007","282581"
"United Arab Emirates","1/10/2007","57175"
"Costa Rica","1/10/2007","111820"
"Chile","1/10/2007","47405"
"El Salvador","1/10/2007","85947"
"Venezuela","1/10/2007","98864"
"Ecuador","1/10/2007","62901"
"Taiwan","1/10/2007","188837"
"Jamaica","1/10/2007","186530"
"Australia","1/10/2007","144421"
"United Kingdom","1/10/2007","1501084"
"Bahamas","1/10/2007","181851"
"Trinidad and Tobago","1/10/2007","52433"
"Peru","1/10/2007","95909"
"Brazil","1/10/2007","190329"
"Hong Kong","1/10/2007","183997"
"Panama","1/10/2007","76960"
"Cayman Islands","1/10/2007","39701"
"Belgium","1/10/2007","70103"
"Denmark","1/10/2007","65953"
"Russia","1/10/2007","34175"
"Japan","1/10/2007","974249"
"Aruba","1/10/2007","90088"
"Dominican Republic","1/10/2007","253390"
"South Korea","1/10/2007","262871"
"Haiti","1/10/2007","53898"
"Atlantic Ocean","1/10/2007","62269"
"Switzerland","1/10/2007","141445"
"Italy","1/10/2007","291937"
"Colombia","1/10/2007","122889"
"Philippines","1/10/2007","57597"
"Guatemala","1/10/2007","88469"
"Spain","1/10/2007","191837"
"China","1/10/2007","186017"
"Germany","1/10/2007","854656"
"Turkey","1/10/2007","29077"
"Iceland","1/10/2007","36079"
"Netherlands","1/10/2007","431033"
"France","1/10/2007","523910"
"Honduras","1/10/2007","43942"
"Antilles","1/10/2007","54531"
"Israel","1/10/2007","113128"
"New Zealand","1/10/2007","65855"
"Mexico","1/10/2007","1283621"
"Argentina","1/10/2007","92689"
"Canada","1/10/2007","1759163"
"Ireland","1/10/2007","204921"
"Colombia","1/9/2007","127235"
"Guatemala","1/9/2007","77529"
"El Salvador","1/9/2007","88192"
"Peru","1/9/2007","94103"
"Netherlands","1/9/2007","436691"
"Canada","1/9/2007","1740878"
"Turkey","1/9/2007","33270"
"France","1/9/2007","570831"
"Atlantic Ocean","1/9/2007","58198"
"Switzerland","1/9/2007","141286"
"Brazil","1/9/2007","182441"
"Haiti","1/9/2007","65592"
"Jamaica","1/9/2007","165564"
"Denmark","1/9/2007","69411"
"Belgium","1/9/2007","72941"
"United Arab Emirates","1/9/2007","55650"
"New Zealand","1/9/2007","79337"
"Hong Kong","1/9/2007","172444"
"Honduras","1/9/2007","48121"
"Philippines","1/9/2007","56962"
"Argentina","1/9/2007","87622"
"Australia","1/9/2007","141367"
"Trinidad and Tobago","1/9/2007","56458"
"Taiwan","1/9/2007","197694"
"Dominican Republic","1/9/2007","269923"
"Germany","1/9/2007","877188"
"Aruba","1/9/2007","74707"
"Panama","1/9/2007","79117"
"Spain","1/9/2007","195305"
"Cayman Islands","1/9/2007","34120"
"Costa Rica","1/9/2007","112325"
"Ireland","1/9/2007","207754"
"Israel","1/9/2007","97658"
"Antilles","1/9/2007","44407"
"Italy","1/9/2007","316114"
"China","1/9/2007","180057"
"Japan","1/9/2007","1002321"
"Mexico","1/9/2007","1097041"
"South Korea","1/9/2007","271421"
"Iceland","1/9/2007","38207"
"Bahamas","1/9/2007","150419"
"Russia","1/9/2007","41016"
"Chile","1/9/2007","48993"
"Ecuador","1/9/2007","64581"
"Venezuela","1/9/2007","103626"
"United Kingdom","1/9/2007","1514865"
"Belgium","1/8/2007","77898"
"Honduras","1/8/2007","75890"
"Colombia","1/8/2007","163753"
"Guatemala","1/8/2007","113851"
"Taiwan","1/8/2007","229286"
"Haiti","1/8/2007","95412"
"Hong Kong","1/8/2007","194882"
"Bahamas","1/8/2007","315542"
"Argentina","1/8/2007","91950"
"United Arab Emirates","1/8/2007","71710"
"Dominican Republic","1/8/2007","445647"
"Brazil","1/8/2007","206821"
"Philippines","1/8/2007","66502"
"Chile","1/8/2007","51220"
"Ecuador","1/8/2007","86400"
"United Kingdom","1/8/2007","1679191"
"Venezuela","1/8/2007","102153"
"France","1/8/2007","624465"
"Cayman Islands","1/8/2007","59716"
"Costa Rica","1/8/2007","177776"
"Italy","1/8/2007","331230"
"South Korea","1/8/2007","336275"
"Switzerland","1/8/2007","162498"
"Iceland","1/8/2007","53730"
"China","1/8/2007","204880"
"Mexico","1/8/2007","1640899"
"Canada","1/8/2007","2088877"
"New Zealand","1/8/2007","62984"
"Denmark","1/8/2007","83440"
"Japan","1/8/2007","1135195"
"Russia","1/8/2007","42948"
"Israel","1/8/2007","144643"
"El Salvador","1/8/2007","133378"
"Spain","1/8/2007","214127"
"Trinidad and Tobago","1/8/2007","75064"
"Australia","1/8/2007","138885"
"Antilles","1/8/2007","74783"
"Germany","1/8/2007","926291"
"Atlantic Ocean","1/8/2007","94946"
"Turkey","1/8/2007","38353"
"Jamaica","1/8/2007","286435"
"Netherlands","1/8/2007","461975"
"Ireland","1/8/2007","245407"
"Aruba","1/8/2007","101873"
"Panama","1/8/2007","108222"
"Peru","1/8/2007","109569"
"Switzerland","1/7/2007","167570"
"Argentina","1/7/2007","94570"
"Haiti","1/7/2007","94791"
"Aruba","1/7/2007","101592"
"Ireland","1/7/2007","252337"
"Colombia","1/7/2007","184430"
"Turkey","1/7/2007","36917"
"China","1/7/2007","202447"
"Atlantic Ocean","1/7/2007","87068"
"Bahamas","1/7/2007","316511"
"Chile","1/7/2007","55220"
"Venezuela","1/7/2007","98885"
"El Salvador","1/7/2007","140513"
"United Arab Emirates","1/7/2007","72253"
"Spain","1/7/2007","222248"
"Peru","1/7/2007","115691"
"Japan","1/7/2007","1062265"
"Hong Kong","1/7/2007","200318"
"South Korea","1/7/2007","318586"
"Italy","1/7/2007","349419"
"Dominican Republic","1/7/2007","465658"
"Canada","1/7/2007","1985434"
"United Kingdom","1/7/2007","1683220"
"Denmark","1/7/2007","86513"
"Ecuador","1/7/2007","86050"
"Taiwan","1/7/2007","232806"
"Russia","1/7/2007","44253"
"Honduras","1/7/2007","81029"
"Germany","1/7/2007","968337"
"Netherlands","1/7/2007","462707"
"Brazil","1/7/2007","231898"
"Israel","1/7/2007","139030"
"Trinidad and Tobago","1/7/2007","73182"
"Cayman Islands","1/7/2007","63139"
"Australia","1/7/2007","153980"
"Iceland","1/7/2007","55710"
"Belgium","1/7/2007","83836"
"Guatemala","1/7/2007","125622"
"Mexico","1/7/2007","1838889"
"Costa Rica","1/7/2007","199007"
"Antilles","1/7/2007","82966"
"France","1/7/2007","658996"
"New Zealand","1/7/2007","59371"
"Jamaica","1/7/2007","326461"
"Panama","1/7/2007","115817"
"Philippines","1/7/2007","77877"
"Netherlands","1/6/2007","427475"
"Atlantic Ocean","1/6/2007","82533"
"Venezuela","1/6/2007","87701"
"Ecuador","1/6/2007","76849"
"Ireland","1/6/2007","230452"
"Japan","1/6/2007","1030120"
"Antilles","1/6/2007","72418"
"Aruba","1/6/2007","87001"
"Costa Rica","1/6/2007","172648"
"Israel","1/6/2007","127885"
"Canada","1/6/2007","1791734"
"Cayman Islands","1/6/2007","58114"
"Argentina","1/6/2007","82271"
"Taiwan","1/6/2007","215949"
"United Kingdom","1/6/2007","1678913"
"Spain","1/6/2007","217678"
"Mexico","1/6/2007","1606899"
"Panama","1/6/2007","95178"
"Chile","1/6/2007","41924"
"France","1/6/2007","616563"
"Belgium","1/6/2007","79535"
"Guatemala","1/6/2007","107608"
"Colombia","1/6/2007","161661"
"Germany","1/6/2007","927190"
"Australia","1/6/2007","143856"
"United Arab Emirates","1/6/2007","65549"
"Peru","1/6/2007","94015"
"China","1/6/2007","193416"
"Hong Kong","1/6/2007","198791"
"Haiti","1/6/2007","64626"
"Iceland","1/6/2007","53938"
"Brazil","1/6/2007","197860"
"Trinidad and Tobago","1/6/2007","57727"
"El Salvador","1/6/2007","116347"
"Italy","1/6/2007","352681"
"Jamaica","1/6/2007","249130"
"Switzerland","1/6/2007","151467"
"Turkey","1/6/2007","33042"
"Denmark","1/6/2007","81621"
"South Korea","1/6/2007","308564"
"Dominican Republic","1/6/2007","383298"
"Russia","1/6/2007","43852"
"Honduras","1/6/2007","69733"
"Bahamas","1/6/2007","282047"
"New Zealand","1/6/2007","77280"
"Philippines","1/6/2007","74013"
"Argentina","1/5/2007","86431"
"Canada","1/5/2007","1790849"
"Dominican Republic","1/5/2007","321874"
"Honduras","1/5/2007","48164"
"New Zealand","1/5/2007","59025"
"Ireland","1/5/2007","172180"
"France","1/5/2007","560967"
"Venezuela","1/5/2007","86193"
"Mexico","1/5/2007","1503041"
"Aruba","1/5/2007","79178"
"Panama","1/5/2007","78776"
"Trinidad and Tobago","1/5/2007","49044"
"China","1/5/2007","188954"
"Russia","1/5/2007","39043"
"Jamaica","1/5/2007","230751"
"Spain","1/5/2007","184411"
"Guatemala","1/5/2007","87703"
"Germany","1/5/2007","897765"
"Iceland","1/5/2007","38961"
"Belgium","1/5/2007","67947"
"United Arab Emirates","1/5/2007","47389"
"Cayman Islands","1/5/2007","53912"
"Brazil","1/5/2007","187452"
"Netherlands","1/5/2007","416925"
"Costa Rica","1/5/2007","138381"
"Atlantic Ocean","1/5/2007","76661"
"Colombia","1/5/2007","126773"
"Haiti","1/5/2007","54512"
"Switzerland","1/5/2007","137084"
"Philippines","1/5/2007","77652"
"El Salvador","1/5/2007","97161"
"Ecuador","1/5/2007","68222"
"Australia","1/5/2007","131394"
"Israel","1/5/2007","108854"
"Hong Kong","1/5/2007","192509"
"Chile","1/5/2007","34908"
"United Kingdom","1/5/2007","1503623"
"Denmark","1/5/2007","69849"
"Bahamas","1/5/2007","258991"
"Italy","1/5/2007","286325"
"Taiwan","1/5/2007","207195"
"South Korea","1/5/2007","288253"
"Turkey","1/5/2007","27411"
"Peru","1/5/2007","94474"
"Japan","1/5/2007","972476"
"Antilles","1/5/2007","70332"
"Dominican Republic","1/4/2007","366757"
"Peru","1/4/2007","92578"
"Russia","1/4/2007","31689"
"El Salvador","1/4/2007","107532"
"United Kingdom","1/4/2007","1479005"
"Ireland","1/4/2007","146037"
"Iceland","1/4/2007","32095"
"France","1/4/2007","521975"
"Bahamas","1/4/2007","298952"
"Haiti","1/4/2007","56418"
"Turkey","1/4/2007","24872"
"China","1/4/2007","166666"
"Mexico","1/4/2007","1737484"
"Netherlands","1/4/2007","394234"
"Cayman Islands","1/4/2007","63711"
"Ecuador","1/4/2007","66325"
"Guatemala","1/4/2007","91354"
"Denmark","1/4/2007","58960"
"Costa Rica","1/4/2007","172199"
"Jamaica","1/4/2007","259025"
"United Arab Emirates","1/4/2007","49946"
"Aruba","1/4/2007","102001"
"Colombia","1/4/2007","119757"
"Atlantic Ocean","1/4/2007","63214"
"Canada","1/4/2007","1784967"
"Australia","1/4/2007","147714"
"Antilles","1/4/2007","90186"
"New Zealand","1/4/2007","64184"
"Honduras","1/4/2007","53760"
"Japan","1/4/2007","899368"
"Brazil","1/4/2007","182175"
"Italy","1/4/2007","226783"
"Philippines","1/4/2007","74145"
"Germany","1/4/2007","770361"
"Belgium","1/4/2007","61643"
"Venezuela","1/4/2007","87679"
"Trinidad and Tobago","1/4/2007","51124"
"Hong Kong","1/4/2007","179460"
"Israel","1/4/2007","96280"
"Spain","1/4/2007","153436"
"Taiwan","1/4/2007","159890"
"Chile","1/4/2007","35976"
"Switzerland","1/4/2007","131090"
"Argentina","1/4/2007","93093"
"Panama","1/4/2007","80609"
"South Korea","1/4/2007","253829"
"Switzerland","1/3/2007","128722"
"Turkey","1/3/2007","22600"
"Spain","1/3/2007","137919"
"Antilles","1/3/2007","96257"
"Trinidad and Tobago","1/3/2007","48040"
"Peru","1/3/2007","105491"
"Australia","1/3/2007","147195"
"Ecuador","1/3/2007","77350"
"New Zealand","1/3/2007","81783"
"Israel","1/3/2007","107682"
"Russia","1/3/2007","29108"
"Panama","1/3/2007","94377"
"Honduras","1/3/2007","61213"
"Ireland","1/3/2007","140840"
"Germany","1/3/2007","739486"
"Cayman Islands","1/3/2007","70012"
"China","1/3/2007","144733"
"Aruba","1/3/2007","102593"
"Atlantic Ocean","1/3/2007","49311"
"Hong Kong","1/3/2007","190149"
"Chile","1/3/2007","52861"
"France","1/3/2007","486980"
"Haiti","1/3/2007","51567"
"Colombia","1/3/2007","123390"
"Netherlands","1/3/2007","373948"
"Belgium","1/3/2007","59881"
"Italy","1/3/2007","181771"
"Japan","1/3/2007","1071588"
"Canada","1/3/2007","1978730"
"Argentina","1/3/2007","104019"
"Mexico","1/3/2007","1893454"
"Denmark","1/3/2007","61001"
"United Kingdom","1/3/2007","1401586"
"Venezuela","1/3/2007","87781"
"Jamaica","1/3/2007","238710"
"Philippines","1/3/2007","72868"
"Taiwan","1/3/2007","205577"
"South Korea","1/3/2007","259929"
"El Salvador","1/3/2007","109495"
"United Arab Emirates","1/3/2007","41557"
"Brazil","1/3/2007","192369"
"Dominican Republic","1/3/2007","368446"
"Iceland","1/3/2007","27166"
"Bahamas","1/3/2007","298712"
"Guatemala","1/3/2007","94166"
"Costa Rica","1/3/2007","204166"
"Costa Rica","1/2/2007","172683"
"Russia","1/2/2007","22079"
"Colombia","1/2/2007","103437"
"Belgium","1/2/2007","45285"
"Denmark","1/2/2007","44581"
"Taiwan","1/2/2007","176919"
"Cayman Islands","1/2/2007","55255"
"Argentina","1/2/2007","99159"
"Chile","1/2/2007","51200"
"Canada","1/2/2007","1691527"
"Atlantic Ocean","1/2/2007","36390"
"El Salvador","1/2/2007","87618"
"United Kingdom","1/2/2007","1034705"
"Switzerland","1/2/2007","94222"
"Turkey","1/2/2007","16755"
"New Zealand","1/2/2007","69462"
"Bahamas","1/2/2007","218241"
"Iceland","1/2/2007","14934"
"Venezuela","1/2/2007","73725"
"Haiti","1/2/2007","44397"
"South Korea","1/2/2007","231993"
"Japan","1/2/2007","911093"
"Mexico","1/2/2007","1512107"
"Ireland","1/2/2007","100218"
"Netherlands","1/2/2007","276426"
"France","1/2/2007","343325"
"Germany","1/2/2007","539338"
"Antilles","1/2/2007","82203"
"Brazil","1/2/2007","188183"
"Guatemala","1/2/2007","73273"
"Ecuador","1/2/2007","63511"
"Italy","1/2/2007","114803"
"Trinidad and Tobago","1/2/2007","44481"
"Australia","1/2/2007","131354"
"Israel","1/2/2007","87214"
"Peru","1/2/2007","91047"
"Honduras","1/2/2007","46199"
"Panama","1/2/2007","90353"
"China","1/2/2007","124156"
"United Arab Emirates","1/2/2007","29646"
"Spain","1/2/2007","91095"
"Aruba","1/2/2007","84823"
"Dominican Republic","1/2/2007","297167"
"Philippines","1/2/2007","64221"
"Jamaica","1/2/2007","192973"
"Hong Kong","1/2/2007","151691"
"Guatemala","1/1/2007","100694"
"Switzerland","1/1/2007","116338"
"United Arab Emirates","1/1/2007","51963"
"Trinidad and Tobago","1/1/2007","46826"
"Venezuela","1/1/2007","101951"
"Colombia","1/1/2007","165059"
"Belgium","1/1/2007","53807"
"Ireland","1/1/2007","106532"
"China","1/1/2007","144159"
"South Korea","1/1/2007","251727"
"Honduras","1/1/2007","59790"
"Mexico","1/1/2007","1688811"
"Japan","1/1/2007","1019268"
"Antilles","1/1/2007","82224"
"Spain","1/1/2007","106454"
"Peru","1/1/2007","101381"
"Australia","1/1/2007","160213"
"Costa Rica","1/1/2007","195704"
"Italy","1/1/2007","147064"
"Israel","1/1/2007","108326"
"Atlantic Ocean","1/1/2007","37271"
"Netherlands","1/1/2007","329635"
"Argentina","1/1/2007","102102"
"Ecuador","1/1/2007","71585"
"Denmark","1/1/2007","49271"
"Bahamas","1/1/2007","212034"
"Russia","1/1/2007","30911"
"Canada","1/1/2007","1792547"
"Chile","1/1/2007","55764"
"Iceland","1/1/2007","19667"
"New Zealand","1/1/2007","81823"
"Germany","1/1/2007","624975"
"Dominican Republic","1/1/2007","351079"
"Cayman Islands","1/1/2007","54720"
"Panama","1/1/2007","103187"
"Hong Kong","1/1/2007","184071"
"Brazil","1/1/2007","239413"
"El Salvador","1/1/2007","116412"
"United Kingdom","1/1/2007","1214251"
"Aruba","1/1/2007","89251"
"Philippines","1/1/2007","76821"
"Turkey","1/1/2007","23508"
"Taiwan","1/1/2007","217133"
"Haiti","1/1/2007","48699"
"France","1/1/2007","418864"
"Jamaica","1/1/2007","146127"
"Honduras","1/12/2006","59754"
"Peru","1/12/2006","95020"
"Chile","1/12/2006","49745"
"United Arab Emirates","1/12/2006","49860"
"Germany","1/12/2006","657414"
"Mexico","1/12/2006","1732287"
"Panama","1/12/2006","93278"
"Antilles","1/12/2006","78956"
"Australia","1/12/2006","145812"
"Colombia","1/12/2006","164736"
"Brazil","1/12/2006","209802"
"El Salvador","1/12/2006","117180"
"Atlantic Ocean","1/12/2006","50228"
"Dominican Republic","1/12/2006","327292"
"Jamaica","1/12/2006","248755"
"Venezuela","1/12/2006","105569"
"Iceland","1/12/2006","27069"
"Spain","1/12/2006","120356"
"South Korea","1/12/2006","267097"
"Bahamas","1/12/2006","259304"
"Italy","1/12/2006","157885"
"Taiwan","1/12/2006","202113"
"United Kingdom","1/12/2006","1345402"
"Ecuador","1/12/2006","73066"
"China","1/12/2006","147291"
"Belgium","1/12/2006","58862"
"Russia","1/12/2006","31932"
"Japan","1/12/2006","989559"
"Canada","1/12/2006","1773137"
"Cayman Islands","1/12/2006","54626"
"France","1/12/2006","456180"
"Netherlands","1/12/2006","349657"
"New Zealand","1/12/2006","86710"
"Guatemala","1/12/2006","101737"
"Ireland","1/12/2006","139294"
"Costa Rica","1/12/2006","169131"
"Trinidad and Tobago","1/12/2006","46249"
"Haiti","1/12/2006","51161"
"Switzerland","1/12/2006","125423"
"Hong Kong","1/12/2006","172920"
"Turkey","1/12/2006","22442"
"Argentina","1/12/2006","98479"
"Israel","1/12/2006","99221"
"Denmark","1/12/2006","49609"
"Aruba","1/12/2006","87439"
"Philippines","1/12/2006","68201"
"United Kingdom","1/11/2006","1299575"
"Russia","1/11/2006","28890"
"Turkey","1/11/2006","19705"
"Spain","1/11/2006","118789"
"Bahamas","1/11/2006","229497"
"Hong Kong","1/11/2006","168370"
"Costa Rica","1/11/2006","121866"
"Aruba","1/11/2006","86357"
"Venezuela","1/11/2006","88044"
"France","1/11/2006","434582"
"Chile","1/11/2006","36754"
"Cayman Islands","1/11/2006","48002"
"Denmark","1/11/2006","49789"
"Japan","1/11/2006","979680"
"Panama","1/11/2006","75153"
"China","1/11/2006","148835"
"Dominican Republic","1/11/2006","276393"
"South Korea","1/11/2006","239837"
"Iceland","1/11/2006","28196"
"Ireland","1/11/2006","154015"
