"Country","Month","Total Passengers"
"Denmark","1/12/2020","4876"
"China","1/12/2020","14072"
"Israel","1/12/2020","26700"
"Russia","1/12/2020","14415"
"United Arab Emirates","1/11/2020","42043"
"Spain","1/11/2020","6422"
"Ireland","1/11/2020","7828"
"New Zealand","1/11/2020","2755"
"Cayman Islands","1/11/2020","1151"
"Russia","1/11/2020","9438"
"Australia","1/11/2020","5610"
"Taiwan","1/11/2020","19918"
"Argentina","1/11/2020","20100"
"Trinidad and Tobago","1/11/2020","631"
"Denmark","1/11/2020","3322"
"Philippines","1/11/2020","12936"
"Belgium","1/11/2020","7476"
"Italy","1/11/2020","4250"
"Iceland","1/11/2020","839"
"Chile","1/11/2020","28998"
"Switzerland","1/11/2020","6141"
"Israel","1/11/2020","25482"
"France","1/11/2020","30060"
"Haiti","1/11/2020","49175"
"Aruba","1/11/2020","56888"
"Atlantic Ocean","1/11/2020","7771"
"Guatemala","1/11/2020","48962"
"Germany","1/11/2020","63792"
"Mexico","1/11/2020","1459180"
"Jamaica","1/11/2020","104764"
"Ecuador","1/11/2020","56354"
"Dominican Republic","1/11/2020","305581"
"Antilles","1/11/2020","14588"
"China","1/11/2020","17768"
"Hong Kong","1/11/2020","5099"
"South Korea","1/11/2020","49899"
"Netherlands","1/11/2020","54718"
"Canada","1/11/2020","130915"
"El Salvador","1/11/2020","81845"
"Bahamas","1/11/2020","19630"
"Peru","1/11/2020","29299"
"Costa Rica","1/11/2020","66217"
"Panama","1/11/2020","12558"
"Honduras","1/11/2020","21888"
"Brazil","1/11/2020","38203"
"Colombia","1/11/2020","136852"
"Turkey","1/11/2020","75974"
"Japan","1/11/2020","35833"
"United Kingdom","1/11/2020","63038"
"Chile","1/10/2020","18974"
"Italy","1/10/2020","4517"
"Cayman Islands","1/10/2020","916"
"New Zealand","1/10/2020","2876"
"Russia","1/10/2020","8808"
"Denmark","1/10/2020","3730"
"Belgium","1/10/2020","6327"
"Israel","1/10/2020","23288"
"Trinidad and Tobago","1/10/2020","1401"
"Haiti","1/10/2020","52776"
"Iceland","1/10/2020","651"
"Spain","1/10/2020","7042"
"Antilles","1/10/2020","7965"
"Panama","1/10/2020","4687"
"Argentina","1/10/2020","14170"
"Taiwan","1/10/2020","14519"
"Philippines","1/10/2020","10484"
"Australia","1/10/2020","4424"
"United Arab Emirates","1/10/2020","36128"
"South Korea","1/10/2020","51104"
"Hong Kong","1/10/2020","5292"
"China","1/10/2020","14702"
"Canada","1/10/2020","107138"
"Atlantic Ocean","1/10/2020","8694"
"Aruba","1/10/2020","41688"
"Netherlands","1/10/2020","53298"
"Costa Rica","1/10/2020","23054"
"Ecuador","1/10/2020","45519"
"Guatemala","1/10/2020","34534"
"Mexico","1/10/2020","1209681"
"Jamaica","1/10/2020","89556"
"Dominican Republic","1/10/2020","268122"
"Honduras","1/10/2020","29994"
"El Salvador","1/10/2020","57312"
"United Kingdom","1/10/2020","71340"
"Peru","1/10/2020","230"
"Bahamas","1/10/2020","8483"
"Switzerland","1/10/2020","6811"
"Ireland","1/10/2020","9526"
"France","1/10/2020","39890"
"Colombia","1/10/2020","107548"
"Germany","1/10/2020","67728"
"Japan","1/10/2020","38752"
"Turkey","1/10/2020","80783"
"Brazil","1/10/2020","27595"
"Mexico","1/9/2020","888822"
"United Arab Emirates","1/9/2020","32884"
"United Kingdom","1/9/2020","63599"
"Turkey","1/9/2020","76002"
"Italy","1/9/2020","6042"
"Antilles","1/9/2020","3475"
"Spain","1/9/2020","10217"
"Iceland","1/9/2020","806"
"Bahamas","1/9/2020","3513"
"Dominican Republic","1/9/2020","225254"
"Honduras","1/9/2020","22755"
"China","1/9/2020","13018"
"Hong Kong","1/9/2020","4762"
"Haiti","1/9/2020","48201"
"El Salvador","1/9/2020","16725"
"Panama","1/9/2020","563"
"Netherlands","1/9/2020","51668"
"Brazil","1/9/2020","27728"
"Germany","1/9/2020","71808"
"South Korea","1/9/2020","56045"
"Japan","1/9/2020","37109"
"Atlantic Ocean","1/9/2020","6405"
"Aruba","1/9/2020","28169"
"Ireland","1/9/2020","13821"
"France","1/9/2020","42001"
"Australia","1/9/2020","3455"
"Trinidad and Tobago","1/9/2020","738"
"Argentina","1/9/2020","6027"
"Taiwan","1/9/2020","14354"
"Israel","1/9/2020","24165"
"Denmark","1/9/2020","4323"
"New Zealand","1/9/2020","4323"
"Belgium","1/9/2020","5697"
"Peru","1/9/2020","114"
"Cayman Islands","1/9/2020","528"
"Philippines","1/9/2020","10894"
"Russia","1/9/2020","6289"
"Switzerland","1/9/2020","8275"
"Chile","1/9/2020","13739"
"Guatemala","1/9/2020","10987"
"Colombia","1/9/2020","21432"
"Costa Rica","1/9/2020","10400"
"Canada","1/9/2020","88375"
"Ecuador","1/9/2020","37649"
"Jamaica","1/9/2020","62716"
"China","1/8/2020","12204"
"Taiwan","1/8/2020","19146"
"Dominican Republic","1/8/2020","231782"
"Panama","1/8/2020","477"
"Aruba","1/8/2020","32773"
"Russia","1/8/2020","5153"
"France","1/8/2020","47979"
"Atlantic Ocean","1/8/2020","8083"
"Hong Kong","1/8/2020","4560"
"Netherlands","1/8/2020","60594"
"Argentina","1/8/2020","2729"
"Honduras","1/8/2020","11057"
"Colombia","1/8/2020","4254"
"Canada","1/8/2020","94884"
"Trinidad and Tobago","1/8/2020","759"
"Switzerland","1/8/2020","13328"
"Denmark","1/8/2020","5921"
"Ireland","1/8/2020","16623"
"Israel","1/8/2020","25914"
"Philippines","1/8/2020","12274"
"El Salvador","1/8/2020","2184"
"Haiti","1/8/2020","50836"
"Guatemala","1/8/2020","2535"
"Ecuador","1/8/2020","33995"
"Mexico","1/8/2020","844242"
"Belgium","1/8/2020","6183"
"Italy","1/8/2020","7253"
"Turkey","1/8/2020","75014"
"Chile","1/8/2020","7534"
"Iceland","1/8/2020","2023"
"New Zealand","1/8/2020","3696"
"Bahamas","1/8/2020","2274"
"Antilles","1/8/2020","4976"
"United Arab Emirates","1/8/2020","28678"
"Peru","1/8/2020","118"
"United Kingdom","1/8/2020","68205"
"Brazil","1/8/2020","20533"
"Australia","1/8/2020","4571"
"Japan","1/8/2020","38044"
"Germany","1/8/2020","85042"
"Costa Rica","1/8/2020","4433"
"Jamaica","1/8/2020","92012"
"Spain","1/8/2020","13831"
"South Korea","1/8/2020","75976"
